col1,col2
no,Kapriciouss awesomemattg SkiddDog oh I did play it not all but a portion it was in my Ritalin days so I dont remember much from then
yes,Ramona needs Ritalin. RHONY
yes,THIS MOTHERFUCKER TOLD CHANCE HE NEEDS RITALIN I GOTTA GO
no,Kindergarten everything was great first grade I realized all my friends were fake Fuck taking Ritalin 10 years later I was getting baked
no,RT RayDillon Please support this graphic novel RAISED ON RITALIN tylerpage Book is completed Needs printing A…
no,YallAintShit sounds like you need some Ritalin ? Lmao
no,Got a hell of a vision I need some Ritalin I got them Goals And They Permanent Eastdown…
no,kid 3 changed from Ritalin to Concerta. Second day she tidied her room... wow. Trial exams next week. Fingers crossed.
no,Too many malicious suspicious bitches I got a helluva vision I need some Ritalin
yes,I didnt even start ritalin that long ago like. I started it in june. and before that I was having trouble but like I could still Do Shit
yes,LinManuel Miranda Dave Grohl on DRUNK HISTORY next season. Bring your ritalin
no,Flipflopping like a fish outta water on Ritalin.
no,The only thing that will get me through this day is my prescription of Ritalin.
no,Too many malicious suspicious bitches..gotta hell of a vision I need sum Ritalin
no,kyriscrass thats shitty dude. Im lucky yes that ritalin just works for me and makes the problem all but go away. youre not beyond helptho
no,Bubble tea is what those Russian athletes were on. No doubt. Anybody got Ritalin
no,Good Morning Ritalin
yes,So much work Im gunna die but thanks to Ritalin which I just took offlabel now Im loaded
yes,DrJAshton Im on a lot of meds for pain and bladder. Im always tired i take Ritalin to keep me awake what else can I take to stay awake
no,GCHQ Vicodin OxyContin Ritalin Adderall Xanax Valium. Did u know prescription opioids killed 9000 people in the US in 2005 thats 38%
yes,He needs to get back on the ritalin
no,"ronjatimber JDefiant9 educational system better suited for girls ""hyperactive"" boys now put on ritalin 1 in 5 in the US"
no,RT TomK Suppose it was ritalin for the rest of them if bulldogs or football didnt do the job
no,Have dependency issuesYesYou suffer from Anorexia.This causes infertility.Try Ritalin
no,1.My guess is that shes probably on drugsRitalin maybeand the bruises could be because she had a fight with her parents saveMarinaJoyce
no,Rospiriotol Ritalin etc Psuedoephadrine hows that going for the guvment auspol scum
no,imstandinstill what about Modafinil or Ritalin Do all amphetamine based drugs need psychiatric prescription
no,mitchellvii are you busy fondling trumps little balls this Am You little cuckold Republicans are a joke. STFU and go pop some Ritalin.
no,Have projectile vomitYou probably have Pica.This causes bellybutton growth.Try Ritalin
no,yep every one of my friends has taken ritalin adderol or something at some point to get through ridiculous hoops
no,nanotechexec their RITALIN Crazy Checks Scam via that group screwed up 16million children now in need of permanent PUBLIC MONEY SUPPORT
no,kyliemmason I watch their videos and feel like I need to give them Ritalin.
no,ManuTwinkerbell Ritalin ? jubry
no,Gassing is done with Ritalin Prozac nowadays these are modern progressive times.
yes,HouseCracka Motel too much Ritalin.
no,Some of you folks need Ritalin
no,ignorance Ritalin heroic nonsense nonsenseengine
no,The Ritalin has affected your little cracker brains too deeply
no,Paul trying to call Walgreens for his Ritalin bb18
no,When I dont know which QB to start I sniff squirrel edit squirrel pooh is my Ritalin Sas
yes,Laflaredagreat I got Ritalin
yes,IfYouWantHelpMoving try Ritalin if that dont work try meth.
no,RT GomerBlog Coffee. Filling the body with a steady stream of overthecounter Ritalin since the 9th century. coffeeaddict hcsm FOAMed
no,10 Things Adderall Does in the Brain and Bodyadderall add adhd psychiatry pharmacology ritalin drugs
no,Interview with a hyperactive 4 year old. Great idea ROOT Sports. Get him some Ritalin.
no,That little boy at the Pirates game needs some fuckin Ritalin
no,scmusicpolitics here mate have some ritalin. Calm. Xxx
no,Ritalin At A Rave
no,OMG my dogs need Ritalin... A new dog moved in.
no,CGasparino ur impression of him is that he is animated for show or he is just animated cuz perhaps he needs Vit R aka ritalin
no,White guilt is pathetic. Why dont they just OD on Ritalin already
no,the bartender at my job just snorted ritalin and asked me if i wanted some jontaffer please save me
no,"From this article ""Although some parents have expressed the fear that Ritalin and other stimulant medications..."
no,fismat One question claimed Ritalin causes tourettes.
no,KrisSacrebleu Valerian root is a decent remedy for his blood pressure but that guy needs to take his Ritalin.
no,Maybe a course of meds like Ritalin and AdderallWorry if Hillary Clinton Wins What to Do With Bill
no,SALE ritalin Order Discount Low cost ritalin medication
no,Theres someone who calls himself Cannonball Adderall but nobodys claimed Lee Ritalin
no,As well as being great for their general health and wellbeing cycling can help children with ADHD.
no,Dangerous Side Effects of Ritalin Is Your Childs Health At Risk ADHDMedications
yes,takes ritalin
no,pzf BETTER THAN RITALIN
no,thednaofmath AndreaNRuth bvonloh JayCaruso but even more so about the restrictions lack of freedom Ritalin etc they grewup with
no,A3 Many adolescents diagnosed w/ADHD erroneously then become addicted to Adderall/Ritalin etc. before their brains develop. SoberUSA
no,Elliott needs Ritalin
yes,took a Ritalin and now I cant stop vacuuming lol
no,RT hiitsmolly i need to take ritalin to clean my room but i need to clean my room to find my ritalin
no,have fun living in a fucking pigsty ill put my ritalin to good use and do my summer homework
no,Too many malicious suspicious bitches Got a hell of a vision I need some Ritalin
no,Im sleepy. Idk if I want to start on my Ritalin again today or wait a little bit
no,NEETODACHI Ive been told because of my ADD and the way Ritalin works for me I would LOVE it
no,RT coppert4nk I liked a YouTube video Fair to Midland Whiskey and Ritalin Live
no,Altonese86 MartinBKing4148 ritalin
no,RT PsychDrugsKill Prozac Ritalin Zoloft... all psychdrugs pose a substantial risk for drug induced suicidality and violence.
no,I wonder how many people will be drugged up on Adderall and Ritalin tomorrow LMAOOO probably a solid 1000
no,RT nanotechexec Hillarys RITALIN crazy checks scam destroyed the brains of 16 million children. PROCHILD she is NOT
no,"Dont pray for your ""crazy uncle"" give him Ritalin and Xanax."
no,Suppose it was ritalin for the rest of them if bulldogs or football didnt do the job
no,make it go away so i can sleep...sleep ritalin.
no,i wish there was like...sleep ritalin
no,TaxPlantation AmyOtto8 A grownup in need of Ritalin
no,fuckviva ConfettiPixie I started new ritalin dose today and I was mad about that
no,Guess PMBS does not know about Hillary/Lani Guaniers 16 million RITALIN VICTIMS CRAZY CHECK SCAM started in AR
no,EvaMilic9 9NewsAUS Side effect of psych drugs such as Ritalin etc. Stop drugging up the kids.
no,I ACCIDENTALLY TOOK A RITALIN INSTEAD OF MY SLEEPING PILL
no,JokersBBUpdates he is disgusting...needs Ritalin or something get him out
no,I SHOULD NOT HAVE TAKEN THAT RITALIN SO LATE IN THE DAY
no,What would happen if Enzo took his Ritalin RAW
no,Rainbow 6 Siege via Twitch
no,Reckless Kelly Wiggles and Ritalin
no,RT spiderstumbled NateSilver538 The Ritalin is wearing off.
no,Cinnamon shminnamon thats what Ritalin is for.
no,KellieMarie319 I agree I take the b complex from Trader Joes but not convinced it does much. Ritalin is the only thing that helped me.
no,When I take ritalin to stay up while driving through the night does that count as drug abuse
no,Hernandez going into 3rd like a kid with ADD who forgot to take their Ritalin. MiavPhi
no,RT BlazerMc88 You missed your Ritalin dose again.
no,RT spiderstumbled NateSilver538 The Ritalin is wearing off.
no,A bored student without ritalin is a troublesome child in the classroom. Ritalin is for packing more students in a classroom.My opinion
yes,High of Ritalin
no,Ritalin is the Zima of uppers.
no,RT SMABSO The Drugging of the American BoyI myself was needlessly put on Ritalin as a child. Who knows what it did to me
no,RT nsfaber My new ConversationUK article Brain doping is less effective than youd think Ritalin modafinil…
no,Except Ritalin is a real thing
no,Man accused of stealing tools from Macon job site Ritalin Addiction Support
no,Xzyliac TVCommentBot Its Ritalin all over again
no,SALE ritalin Order Discount Low cost ritalin medication
no,"RT GovPappy GovPappy Or maybe ""Grab your Ritalin and strap in boys its gonna be a long one"""
no,RRN The inside of a timedrelease Ritalin
no,The most indie thing Ive ever done is swallow Ritalin with a slushie in my underwear in front of a boy
no,The inside of a timedrelease Ritalin
no,Can ritalin cause adrenal bfatigue/b/p Theories abound about the causes of chronic…
no,What A Tangled Web We Weave A Ritalin Anecdote
no,Medicatedandmighty sorry Epidemic of pediatric bipolar disorder Ritalin Adderall Zoloft Depakote MDbad
no,tonybalmforth ClarkeMicah lalonip Profits for Pharma companies. P Breggins Toxic Psychiatry Talking Back Prozac/Ritalin worth a read.
no,Can ritalin cause adrenal bfatigue/b/p Chronic fatigue syndrome CFS sometimes…
no,"google search ""will i overdose if i drink an entire can of monster and take 3 ritalin at once"""
no,2 hours later I have successfully packed a pair of jeans into my suitcase. My attention span=0 Ritalin pills/10 meaning I should take some
no,I saw Star Trek Beyond. Its ok. But can someone give the director some ritalin
yes,GoodMicWork They threw away his Ritalin
no,Can iodine affect MentalHealth depression womenshealth ritalin add adhd MyZenHaus
no,Listening to blink182 and smoking pot pretending Ritalin and Ambien dont exist
no,The inside of a timedrelease Ritalin submitted by /u/HuggingTheJellyfish [link] [comments]
no,WWESuperCardFAQ lmao i think you meant Ritalin haha
no,Some spazzed out dude who was off his Ritalin just jumped over the guardrail challenged Rusev what an idiot oh its Mojo WWEBattleground
no,9a5fc72b708f444 Robert4787 I only made references to Rabbi Levin. Once again u cant stay on topic. Need some Ritalin
no,michaelC5sos GIRL I LEGIT JUST SQUEALED IN PUBLIC I NEED RITALIN AFTER THIS ?????????
no,From brainprotips Strattera vs Adderall vs Ritalin Comparing ADHD Medications
no,"RT mocost CIBA Pharmaceuticals ad circa 1970""Ritalin helps the problem child become lovable again"""
no,tyeadams cut it with some Ritalin fucking heaven
no,On a steady diet of soda punk and ritalin
no,cont...FOXSports color guy who knows something about cars. Also give DaveRieff some Ritalin.
no,"Olson 30 NAs final results Ritalin In 3rd 2nd Investors Group and the overall champion ""O"" Natural. Congrats"
no,Mojo Rawley Cocaine is a hell of a drug WWEBattleground
no,3 kilos of cocaine found stashed in luggage compartments of 2 JetBlue planes in Florida.
no,NOW I FUCKING MISSED OUT ON BLASTOISE ITS FUCKING VIOLENCE WHEN I SEE YOU PUSSY NIGGAS FADE ON SIGHT NianticLabs PokemonGoApp
yes,BeckyBalboa Buy me a brick of cocaine. ?
no,Dont smoke and I hate Henny
no,RT historyepics Coca cola started out as wine with cocaine in it.
no,RT Mrlouiss HOLD UP THATS HONEY COCAINE
no,RT GareBearEsq After hearing Mark Cuban call Trump a jag off just now Im making popcorn and waiting for Trumps cocaine fueled twitter…
yes,Rowdy did a lot of cocaine
no,RT historyepics Coca cola started out as wine with cocaine in it.
no,JayA1Savage take it down
no,But tonight youre a stranger some silhouette
no,"RT LitFreestyles she tried to ""Freestyle"" but it was honey cocaine verse ???"
no,NewGodSHERM no. It doesnt sounds appealing Lon
no,I just bought a pistol it got 30 rounds init pull up at you mamas house and put some rounds init
yes,I cant lie and Im not gone lie...I just wanna get drunk
no,RT sym4dvl Living on reds vitamin C and cocaine
yes,See cocaine isnt like those scruffy drugs. Its a classy drug for cool sophisticated people.
no,piinkcocaine Serving FACE ??????
no,theres no thc in hemp milk instead theres crack cocaine
no,NewGodSHERM Im done ??
no,I dont do cocaine but I stay numb
yes,RT IncisiveMalice Im now the proud owner of three pounds of high grade cocaine. I love Rio
no,This was my older brother Wesley lol nigga had them all in a book
no,RT PostGradProblem EXCLUSIVE Timeline Of Guy Who Went To Mexico To Die But Is Saved By Hookers And Coke
yes,RT tvandspam Hard liquor and cocaine for dinner
no,RT mattyglesias morgandrose deepbeige Cocaine is pretty fun. Im an old dad now though.
no,tan like shit.
yes,morgandrose deepbeige Cocaine is pretty fun. Im an old dad now though.
yes,RT MaxwellJSteele Drivin that train high on cocaine
no,RT PostGradProblem EXCLUSIVE Timeline Of Guy Who Went To Mexico To Die But Is Saved By Hookers And Coke
no,? awakeningavalon littleprincesschloe sativamermaid sativamermaid A blunt a day keeps the...
no,"RT dinerohambre ""Who tf is honey cocaine"""
no,RT IndyUSA Nephews of Venezuelan first lady tried to smuggle cocaine into US
yes,RT DarkerThanAkon i only smoke organic cocaine
no,RT WSJForero Venezuela first ladys nephew said highlevel connections made it easy to get cocaine out via Caracas airport. AP
no,Parents Warn THIS Drug For Kids Has Similar Effects To COCAINE. Do Not Let Them Take It
no,RT UniNoticias Nephews of Venezuelan president confessed they were trafficking FARC cocaine
yes,taliasterrr im so in love with cocaine and art class last year
no,two of my favorite people ????
no,"We constantly get messages from procop people who like to say ""if you didnt do anything wrong you wont have..."
no,RT PostGradProblem EXCLUSIVE Timeline Of Guy Who Went To Mexico To Die But Is Saved By Hookers And Coke
yes,You know what we need. More cocaine.
no,my cat keeps sneezing IT MIGHT BE COCAINE I KNEW HE WAS BACK ON DRUGS
yes,RT FuneralCasket ...cocaine for lunch...fancy
no,RT CelebsInHS on the soccer teamdoes cocaine before gamesdrives a buggie2 abortionsshows her tits at parties when drunk
no,RT chrisrusso13 Happy Birthday Colleen Cochallohan Coachella cocaine propane insane lo mein paleinthesummer ????collmerusso
yes,Drinking cocaine jk jk Cocacola and chillaxing with my meowmeow is awesome lol
no,ACuppOfTea You worked like 883 hours a week and you have no money. I know whats happening here cocaine.
yes,Dropped out of school just to sell cocaine and weed
yes,this lady is def doing cocaine in the bathroom at the local CVS
no,I like 80s cocaine comics MatthewGAllison CharlesForsman but I ?? a 60s liberal rocking a 40s comic strip style on 70s Batcomics for kids
no,cocaine is hell of a drug
no,I feel like Im on cocaine sabrinacc
no,Shabu is crystal meth pala i thought it was cocaine
no,Various Artists Cocaine Mali Couple Bandz Remix TXL Artist nowplaying listenlive
no,"RT ohsnapimlexi ""Cocaine tastes just like sugar"" rudanc"
no,RT HealthRanger Salmon caught near Seattle proven to be inundated with antidepressants cocaine and more
no,cocaine white like justin bieber ???
no,CoCAinEEaTeR Sike Idc Wat u get
no,RT uanobese 14. Cocaine yoga
no,White people talk about snorting cocaine like thats the normal thing people doing...
no,CoCAinEEaTeR yea u can get 5 wings
no,my cocaine nail broke im upset
no,Reading these tweets Im crying ?????
no,NowPlaying The Girl You Lost To Cocaine Stonebridge Edit Sia 1929
no,SheriffClarke he also orchestrated the selling of cocaine in the United States to fund overseas terrorists but whatever you say bud.
no,Cocaine tastes just like sugar rudanc
no,CoCAinEEaTeR Im goin to uc 9 to watch them nighas play football u can come if u want yo
no,Jesus take the wheel ??
no,I dont do cocaine
no,RT Adweek Two men and one cocaine bear just made Kentuckys strangest local ad ever
no,Serve Cocaine In Sum Reeboks FutureHendrix
no,vibezNscribez so mean smh
no,Prince Harry in Nepal 39Your country holds a special place39 WarriorsGame Prince… WarriorsGamePrince
no,mckaylab4 I can get you cocaine
no,Or might not that quick
no,RT LILUZIVERT Almost time ???® ... TPLP?
no,NiallOfficial cocaines a hell of a drug
no,Things you can.inject into pastries jelly jam custard your dreams smaller pqstries cocaine.
no,What is a good foundation that wont make me orange
no,"RT Sxrxnxdx When someone yells ""Charizard"" from the other end of the park"
no,When someone thinks theyre worth your time but you dont play with cocaine users. ??????
no,RT HealthRanger Salmon caught near Seattle proven to be inundated with antidepressants cocaine and more
no,"RT KyleEdwards Fergies new video is like ""fergalicious"" on cocaine"
no,RT WSJForero Prosecutors Nephews of Venezuela 1st Lady tried organizing cocaine smuggling runs to U.S. to generate 20 million.
no,one person followed me and one person unfollowed me // automatically checked by
no,"RT TheseDamnFacts The NHL ""does not test for recreational drugs like cocaine or marijuana."""
no,champagne cocaíne gasoline and most things in betweeni roam the city in a shopping carta pack of camels and a smoke alarm
no,RT Vanruvia NHL doesnt even fine for cocaine use
no,I think I have a problem.. I just traded a brick of cocaine so someone would drive me around…
yes,RT vin1976 Fully loaded with cocaine
no,Seared Salmon with a dash of Cocaine please LOL
no,This guy I know rncexopened a riet coke can .nd the whole thing was filled with actual cocaine.
no,do u ever suddenly think what would my mom say while snorting 5th line of cocaine
yes,Took a shot cocaine and away I run. Made a good run but I run too slow .They overtook me down in Juarez Mexico
no,"RT NaturalBlaze ""SeattleCaught Salmon Found To Contain Cocaine Antidepressants And Pain Relievers"
no,? smiling is all I could do... If you known why I am smiling its because Im blessed???
no,RT HealthRanger Salmon caught near Seattle proven to be inundated with antidepressants cocaine and more
no,FaZeJev jevqna did you ever try any drugs like cocaine weed etc jevqna
no,"RT iKeepItTooReal Why am I dead af.. ""Dont do this"" ? lmfaooo"
no,I serve cocaine and some Reeboks.Im full of soo much chronic need a detox.
no,That shit really just made me mad ?
no,Frqnkie facts yo it dont be fair lol
no,She taking 40
no,RT HealthRanger Salmon caught near Seattle proven to be inundated with antidepressants cocaine and more
no,RT nicolemilfie Cara Delevingne drops a bag of cocaine and tries concealing it with her foot 2013
no,RT carrmiee W/in 5 min of arriving at our hostel a guy is accusing his roommates of having sex w/ each other is getting kicked out for…
no,RT Vanruvia NHL doesnt even fine for cocaine use
no,Unversedspectra Soras Heart smells like cocaine.
no,RT kailynsantoss So am I the only one who finds it problematic that our presidential candidates are always beefing over Twitter .... ?
no,NME My cocaine
no,PearlsFromMyrna Nasturtiums are native to S. America....where they make cocaine and serve brisket on a sword. Terrifying place. prayers
no,RT MindBlowing This is a rare footage of a fatal ventricular fibrillation due to a cocaine overdose
no,RT Vanruvia NHL doesnt even fine for cocaine use
no,Check if your cocaines good Mix with vinegar If it makes a volcano its baking soda If not your drugs are ruined Dont do drugs Drugs are bad
no,RT Damorela92 Ordinary 60k cokeYa shouting on twitter upandanTeebillz wey borrow 45m for cocaine sef no make noise
no,Listen to Chocolate Chip Cookies and Cocaine by BroskiSaysYea np on SoundCloud
no,RT bybryony just in case some may have forgotten.. Flint Michigan is still in need of clean water. FlintWaterCrisis
yes,Im not addicted to cocaine I just like the smell of it
no,RT 6BillionPeople 10 Police officers beat a man that surrendered instead of reading him his rights and taking him into custody.
no,Cocaine 80s/Nas Wheres the Love [] wmskgrind nowplaying live
no,KEEMSTAR Solution Try cocaine. If you have an expensive drug habit youll have to continue.
no,Wait is this a second song about cocaine –Madi experiencing her first XPNFest ever
no,Drink the corn liquor let the cocaine be. oldcrowmedicineshow XPNFest
no,RT Vanruvia NHL doesnt even fine for cocaine use
no,RT MyNameNotSergio Sometimes yall just aint meant to be fuck holding on just move on my nigga amen .
no,RT yeezyzus person of cocaine
yes,Am craving cocaine and wine lol
no,"RT BASED0RE0 ""I see it in ya face I got tha good stuff. Cocaine pills whatever you want"""
yes,All we need is more cocaine
no,I need a liquid cocaine from starbucks
no,RT RobbyTheBrain Lay off the cocaine
no,gucci down the boulevard cocaine dollar bills and MTVHottest Fifth Harmony
no,RT JjarvisJEFF Clintonkaine 100x more expensive than cocaine and guaranteed to never get you higher than the lowest point in life.
no,RT HealthRanger Salmon caught near Seattle proven to be inundated with antidepressants cocaine and more
no,Trio accused of selling cocaine worth Dh50000 loved
no,88Hayter COCAINE by ERICCLAPTONNEWS is playing in a few mins on Z94.3 Listen Vote at
no,Your newly found optimism might run into a roadblock today as ... More for Capricorn
no,RT waltersn512 I love how Trump is so obsessed with ratings. Like bruh ratings for crack cocaine are pretty high doesnt make it a good…
no,RT LukeKyriazis cocaine caviar
no,RT EyeSeeYou619 The shortest distance between two joints is a straight line of cocaine.
no,trevogee austinsullivaa longwoodgirl5 LexiLeAnn Niggas call it cocaine
no,RT an3myhasnotwit PsyQoKolby rainy days in your head Cocaine hydrochloride will clear the sky and provide warm and welcoming rays of s…
yes,stop snorting cocaine
no,"RT rwmccrory SheriffClarke jjauthor donlemon CNN crackcocaine droveup crime response was demanded now its called ""systemic racis…"
no,RT BlackGirlsWinni If you date a black girl you better be ready to meet a new chick every week cuz the switch up is so real ?
no,RT HealthRanger Salmon caught near Seattle proven to be inundated with antidepressants cocaine and more
no,Dubai drug suspect greeted cops with cocaine moustache 7DAYS.ae Dubai
no,RT HealthRanger Salmon caught near Seattle proven to be inundated with antidepressants cocaine and more
yes,RT DamonnnG never is weed an excuse for fuckin up because I get shit done and smoke weed 24/7 but still bro weed fuck you up man its c…
no,Your Brain Does Really Weird Stuff When It Thinks About Money Brain cocaine Money studies
no,"SheriffClarke jjauthor donlemon CNN crackcocaine droveup crime response was demanded now its called ""systemic racism"""
yes,lgbtliam thank you josh Louis Tomlinson snorts cocaine around his child 3
no,"RT dinerohambre ""Who tf is honey cocaine"""
no,RT FVKZAY My kids gon have that good hair u hear me
no,"RT cutepoops vegans who do it ""for their health"" but still smoke cigarettes and snort cocaine l o l bye"
yes,RT rtyourkink doing cocaine to solve ur problems
no,WHAT THE FUCK DO NOT PUT COCAINE ON YOUR INSTAGRAM
no,RT kingfee901 Drake made a knock off Jamaican song and is now checking niggas about making a knock off of his knock off
no,RT benjaminbear kingfee901 milesfarewell XXL somebody remind drake hes a Canadian actor
no,This sexy babe want to seduce you online cocaine
no,RT BillyCorben Leader of Colombian cocaine ring extradited to Miami to stand trial
no,RT NickSwardson A chick asked me if she should wear high heels to the music festival tonight. Yep and do cocaine standing in a tornado. F…
no,"RT Mari4Hunnit ""i see it in your facei got the good stuff.cocainepills whatever you want"""
no,RT Jayychilll Cant relate
yes,Who has some cocaine they can let me borrow
no,Republicans use Arkansas ties to bash the Clintons via TIMEPolitics Can Hillary deflect ties to cocaine cartel
yes,RT FuneralCasket ...cocaine for lunch...fancy
yes,RT CeIebslnHS math teacherspoke way too fastobnoxious did cocaine in the teachers lounge during passing periods
no,I can see it in your face... I got the good stuff. Cocaine pills whatever u want
yes,RT cleannotsober Sorry I snorted all your cocaine and snapped selfies with your Pokémon menagerie.
no,MSNBC ClintonKaine or cocaine...for short should not be nominated at the DNC. Delegates should take a vote on the convention floor.
no,This though 3
no,RT jondgaesus Jackson as spencer weird as hell art hoe ???snorts cocaine on the low
no,RT queenganel All the fine girls have join gang You are stealing mifiSniffing cocaineTurning lesbiansBad gang
no,RT yeezyzus person of cocaine
yes,I want some fucking cocaine
yes,I see it in ya face I got the good stuff cocaine pills whatever ya want
no,RT ARBasgall i too take my cocaine from glass bottles
no,RT LADEKRANE Nigerian lawSteal 5 yrsCocaine 8 yrslesbianism 14 yrsTotal 27 yrsUduak
no,The Contras Cocaine and U.S. Covert Operations
yes,i too take my cocaine from glass bottles
no,RT yeezyzus person of cocaine
yes,RT Awpalot The jokes on you officer. That breathalyzer wont tell you how much cocaine Ive snorted tonight.
no,RT TobyHater This year more people will use cocaine than read a book to their children.
no,PsyQoKolby rainy days in your head Cocaine hydrochloride will clear the sky and provide warm and welcoming rays of sunshine
no,glittercocaine nice Haha i want taco soup
no,i see it in your facei got the good stuff.cocainepills whatever you want
no,RT BREWMYSTEW jasmine HETERO THAT COCAINE FETUS PICTURE OF YOU STRUNG THE FUCK OUT cheryl tumbling jumping in the pool flippin…
no,I like girls that like girls ???
no,RT Sadnightvibes 7. Yayo unreleased video unreleased version you cant hide anything from a huge fan cocaine
no,RT ShekeidraK Lmfao?
no,RT Adweek Two men and one cocaine bear just made Kentuckys strangest local ad ever
yes,rt : yesterday was the four-year anniversary of when we lost phil to an overdose of heroin/fentanyl. itâ€™s still very hard. ðŸ’”â€¦
yes,and hunter has a rolled upped $100 bill for snorting a mountain of china white heroin.
yes,he takes heroin sex very seriously.
yes,i have a often reoccuring dream where i get to take the super heroin. that lasts a lifetime
yes,"just like nicotine, heroin, morphine, suddenly, i'm fiend and you're all i need, all i need"
yes,you may also know me as the local homeless heroin addict.
yes,"be fucking cool, use heroin"
yes,i was already shooting heroin by sophomore year
yes,thanks to opioid marsha our suburbs our heroin shooting galleries
yes,just took a massive l i need heroin now
yes,"gotta live in a city where the heroin addicts are, a lot more peace &amp; quiet"
yes,yes he was clearly high on heroin
yes,dude i'd snort flakka laced with spice heroin coke and meth if we win a super bowl. fuggggg it we gettin rowdy
yes,le me overdosing on heroin so they pump it back in to me when the hospital finds i dont have insurance
yes,guards have heroin addicts spit in the faces and nurses treat people with covid. your point?
yes,gf that thanks me when i shove my fingers down her throat after she od's on heroin
yes,rt :  i can't wait for this dude's heroin overdose.
yes,i'd take the dirty heroin needles over fucking smarties. tums-tasting pieces of chalky shit.
yes,haha this heroin is bangin right now iâ€™m so high
yes,rt : i could eat me some heroin or buy a brick!!!!!
yes,thanks for the heroin hunky jesus
yes,i need a little shot of heroin right now
yes,rt : everyday i get more &amp; more tempted to become a heroin addict
yes,i want to shoot some heroin who want to join????
yes,"iâ€™ll move to paris, shoot some heroin, n fuck with the stars"
yes,you snort coke laced with heroin and meth... i donâ€™t have the problem ðŸ˜­
yes,he took cocaine that he didnâ€™t know was laced with fentanyl
yes,celebrate selling heroin? or being high on meth and fentanyl?
yes,rt : laced with crack i was addicted to this show
yes,optional kind of like taking a lethal dose fentanyl
yes,george floyd died of a fentanyl overdose fact!
yes,"nicotine, heroine, morphine suddenly iâ€™m a fiend and youâ€™re all i need"
yes,right now l could do with a shot of morphine
yes,ugh! i need some morphine then.
yes,if you dont want to fail no nut november just get addicted to morphine. it makes it near impossible to cum
yes,it's too much b! i might need a morphine drip. wake me up on friday. ðŸ˜­
yes,using marijuana as an alternative to morphine
no,They say that kids a problem where the fuck is his Ritalin
yes,TheRitalin itll be awesome for sure
yes,xoDamage sad to see you wont be attending. Youre going to miss a good event.
no,RT GomerBlog Coffee. Filling the body with a steady stream of overthecounter Ritalin since the 9th century. coffeeaddict hcsm FOAMed
no,Are drugcrazed rodents raiding your childs medicine cabinet Rats on Ritalin next on Sick Sad World Daria
no,.CRobertBuchanan dnvrite we know its tough but pop some Ritalin and think real hard copolitics
yes,JohnQABC Son on Ritalin Dr makes him take urine test every month to make sure taking it I guess to make sure he not giving to friends
yes,I am taking heroin to reomve my pain
yes,he is adict with fentanyl kills his body
no,did you make this from scratch? it looks amazing!
